dmn_domain_name,dmn_question_id,dmn_question_year,dmn_question_text,dmn_is_document_upload_enabled,dmn_domain_id,dmn_is_cloud_sync_enabled,dmn_cloud_sync_api_curl,dmn_question_version,promp_instructions,accepted_evidence,specification_number
Data Architecture and Modeling,df03a321-ad21-4e28-9e3a-9d3d2436f71b,2026,"Has the Entity established a centralized repository to store all data and technical architecture project documentation, reference materials, and data model designs?",true,a14d13d9-81eb-46da-ab4f-8476c6469dd3,false,,0.1,"The Entity shall establish and maintain a centralized repository to store all data and technical architecture project documentation, reference materials, and data model designs. This repository shall, at a minimum:

Include comprehensive documentation of data architecture and modeling activities, such as structural diagrams (UML, IE, IDEF1X, Class Diagrams, Entity Relationship Diagrams, Component Diagrams, Deployment Diagrams, Dimensional Diagrams)
Implement version control to track changes and updates to documentation and models, ensuring accuracy and traceability
Indicate master/ slave or federated relationships between datasets, showing how data is managed across systems (e.g., master, slave, federated)
Include documentation to support data lineage and integration, ensuring consistency and reducing redundancy
Include data modeling artifacts such as Entity Relationship Diagrams and Data Flow Diagrams. These artifacts shall:
Form part of the Entity’s mandatory system design and architecture documentation
Be produced for both structured and unstructured data to support comprehensive data management",Data Architecture & Modeling Repository Documentation,DAM.3.2.1
Data Architecture and Modeling,836843c7-daf8-429c-a99d-9db4a1ca4bbc,2026,"Has the Entity established and implemented a structured change management process for reviewing, approving, and implementing changes to both the current and target state data architectures?",false,a14d13d9-81eb-46da-ab4f-8476c6469dd3,false,,0.1,"The Entity shall establish and implement a structured change management process for reviewing, approving, and implementing changes to both the current and target state data architectures, to ensure that all modifications are systematically evaluated and aligned with the Entity’s strategic objectives. This process shall include, at a minimum, the following components:

Handling requests for new data architecture and data modeling projects
Managing changes to the Statement of Architecture Work documents for ongoing initiatives",Data architecture and modeling change requests process,DAM.3.1.3
Data Architecture and Modeling,2189520f-6004-4433-9307-8cff247c4697,2026,Has the Entity developed a data architecture roadmap to address the identified gaps and support implementation of both long-term initiatives and quick wins to enhance the Entity’s data architecture and modeling capabilities?,false,a14d13d9-81eb-46da-ab4f-8476c6469dd3,false,,0.1,"Based on the results of the gap analysis, the Entity shall develop a detailed roadmap for guiding the Entity in transitioning from the baseline data architecture to the target data architecture. The roadmap shall, at a minimum:

Include timelines for implementation, budgetary estimates, and required capabilities.
Specify the priority and sequence for changing, upgrading, replacing, or retiring components and systems, while maintaining flexibility to adapt to business priorities.
Undergo periodic review by the Data Committee to ensure alignment with both the baseline and target data architectures, and include an evaluation and justification of changes in priority or exceptions to the roadmap as reviewed by the Data Committee (if applicable).","Initiatives Cards
Data Architecture Plan Document",DAM.1.1.6
Data Architecture and Modeling,58319e8c-882c-41c0-805b-0bbd4c14bc5a,2026,"Has the Entity developed a target data architecture in alignment with the Entity’s data strategy, key business processes, gaps identified through the data architecture gap analysis, and NPC’s reference architecture?",false,a14d13d9-81eb-46da-ab4f-8476c6469dd3,false,,0.1,"The Entity shall define and develop a comprehensive target data architecture which shall be reviewed and approved at the appropriate governance checkpoints to ensure alignment with the Entity’s overall data strategy and business objectives. The target Data Architecture shall include, at a minimum:

Data Model: The Entity's target Enterprise Data Model at Conceptual, Logical, and Physical levels. Each data model level shall include, at minimum:
Conceptual Model: Identification of key business entities and their relationships, organized into business subject areas
Logical Model: Extension of the conceptual model with attributes for business entities and the inclusion of less significant entities and relationships
Physical Model: Physical representation of logical data models within key system components, including physical table names, attribute names, data types, and primary and foreign keys
Key Processes: Identification of essential target processes involved in ongoing business operations and decision-making
Key System Components: Identification of essential target applications, data storage solutions, data processing platforms, and data analytics solutions involved in key processes
Data Flows and Lineage: Visualization of target data movement across key processes and system components, ensuring a clear understanding of data flow and lineage","Architecture Components Documentation
Integration Points Documentation",DAM.1.1.4
Data Architecture and Modeling,4ded6b84-9bb9-4ca5-814a-74a0df30f2f5,2026,"Has the Entity documented the current state of its data architecture and data models, in alignment with all the data architecture and modeling templates as provided in the National Data Architecture & Modeling Guidelines?
",false,a14d13d9-81eb-46da-ab4f-8476c6469dd3,false,,0.1,"The Entity shall establish its current baseline Data Architecture. The current state Data and Technical architecture should include, at a minimum:

Data Model: The Entity's existing Enterprise Data Model, detailed at the Conceptual, Logical, and Physical levels. Each level should cover, at a minimum:
Conceptual Model: Identification of key business entities and their relationships, organized into business subject areas.
Logical Model: An extension of the conceptual model, incorporating attributes for business entities and adding less significant entities and relationships.
Physical Model: A physical representation of the logical data models within key system components, including physical table names, attribute names, data types, and primary and foreign keys.
Key Processes: The crucial current processes involved in the Entity's ongoing business operations and decision-making.
Key System Components: The essential current applications, data storage solutions, data processing platforms, and data analytics solutions involved in key processes.
Data Flows and Lineage: A visualization of the current data movement across key processes and system components.","Current Data & Analytics Landscape Document
Integration Points Documentation
Current Baseline Data Architecture Diagram
Fact & Dimension Tables Inventory (for current)
Data Lineage Documentation
Current Baseline Analytical Data Model Diagram",DAM.1.1.3
Data Architecture and Modeling,d93664f1-402a-48e1-a584-5e05f3931fd3,2026,"Has the Entity developed data modeling guidelines and methodologies to ensure a consistent and standardized approach to data modeling across the organization, in alignment with the 'NPC Data Modeling Guidelines' as provided in the National Data Architecture & Modeling Guidelines?
",false,a14d13d9-81eb-46da-ab4f-8476c6469dd3,false,,0.1,"The Entity shall develop and document comprehensive data modeling guidelines and methodologies to ensure a consistent and standardized approach to data modeling across the organization. These guidelines and methodologies shall include, at a minimum:

Establish and document principles and best practices for developing conceptual, logical, and physical data models
Define standards for creating and maintaining data models, including naming conventions, data types, and relationships
Provide guidelines on various modeling techniques, such as entity-relationship diagrams and other tools to represent data structures
Ensure that data models are integrated with the overall data architecture to support business objectives
Establish procedures for version control and detailed documentation of data models
Integrate data modeling guidelines with data governance and quality management processes to ensure accuracy and consistency
Implement a regular review and update process to keep the guidelines and methodologies current and relevant
Reference international standards and best practices for data modeling to ensure global alignment",Data Modeling Guidelines Documents,DAM.1.1.2
Data Architecture and Modeling,ee7db032-6507-4776-b3cb-acd676e1b73f,2026,"Has the Entity conducted data architecture and analytical data model gap analysis in alignment with the Entity's data strategy and data architecture & modeling guidelines?
",false,a14d13d9-81eb-46da-ab4f-8476c6469dd3,false,,0.1,"The Entity shall conduct a thorough gap analysis between the baseline and target data architectures. This analysis shall, at a minimum:

Identify business data requirements that are currently not being fulfilled
Highlight technical data components that are absent between the baseline and target architectures
Assess gaps in roles, skills, tools, and training required to support the target data architecture","Data Architecture Gap Analysis Document
Analytical Data Model Gap Assessment",DAM.1.1.5
Data Architecture and Modeling,50b62276-6bd1-4538-868c-dd4f32e6a23e,2026,"Has the Entity aligned its high-level architecture objectives with business and regulatory priorities, defined scope and architectural domains, identified key stakeholders and responsibilities, and organized a structured kick-off meeting?
",false,a14d13d9-81eb-46da-ab4f-8476c6469dd3,false,,0.1,"The Entity shall establish and adopt a comprehensive enterprise-level system and data architecture process within a recognized Enterprise Architecture Framework, such as the Open Group Architecture Framework (TOGAF). The high-level data architecture development process shall consider and include, at a minimum:

SS1.Current System Data Architectures: Documenting the architecture of existing information systems containing data
SS2.Current Enterprise Data Architecture: Integrating inputs from key system architectures to outline the current state at the enterprise level
SS3.Target Enterprise Data Architecture: Outlining the desired future state of analytical enterprise data architecture across the Entity
SS4.Target System Data Architectures: Designing system architectures influenced by the roadmap to bridge identified gaps. The Entity should plan to update and maintain these architectures throughout the software development lifecycle and validate them during governance checkpoints","Documentation of high-level objectives, identified stakeholders and proof of kick-off meeting",DAM.1.1.1
Data Architecture and Modeling,006871d2-0422-4b66-8477-816cebef040f,2026,"Has the Entity established monitoring and reporting mechanisms for Data Architecture & Modeling based on the defined KPIs?
",false,a14d13d9-81eb-46da-ab4f-8476c6469dd3,false,,0.1,"The Entity shall monitor and report on the established data architecture and modeling KPIs. This shall include, at a minimum:

Implementing continuous monitoring mechanisms to track KPIs. The frequency of monitoring shall, at a minimum, be on a quarterly basis
Defining clear escalation protocols for performance deviations and non-compliance. The Data Committee shall be responsible for overseeing and managing the escalation process to address issues promptly",Data Architecture & Modeling dashboards and reports,DAM.3.1.2
Data Architecture and Modeling,f60e7c9d-0752-4b19-8f76-c9ec862f4567,2026,Has the Entity established key performance indicators (KPIs) to measure the state and effectiveness of its Data Architecture and Modeling capabilities?,false,a14d13d9-81eb-46da-ab4f-8476c6469dd3,false,,0.1,"The Entity shall establish key performance indicators (KPIs) to measure the state and effectiveness of its Data Architecture and Modeling capabilities. These KPIs shall include, at a minimum:

Metrics to track progress in transforming current state data architecture towards a target state data architecture
Data Architecture Compliance (i.e.: percentage of compliant target state data architecture layers)
Data model completeness (i.e.: number and percentage of completed data models)
Adherence to Data Modeling Standards (i.e.: number and percentage of compliant data models)",List of defined and documented  Data Architecture & Modeling KPIs,DAM.3.1.1
